,name,typ_0,typ_1,x,y
1256,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Antónyová, Košice-Dargov.hrdinov, (MUDr. Antónyová Eva s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
1257,"Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Balluchová, Košice-Západ, (Balmed s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1258,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Bednárová, Košice-Sídl.Ťahanovce, (MUDr. Eva Bednárová)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2674997,48.7549773
1259,"Všeobecná ambulancia pre deti a dorast, MUDr. Adriana Čuhová, Košice-Juh, (doBRRÁ ambulancia s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2576085,48.7070256
1260,"Všeobecná ambulancia pre deti a dorast, MUDr. Tamara Dupkalová, Košice-Dargov.hrdinov, (MUDr. Tamara Dupkalová)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
1261,"Všeobecná ambulancia pre deti a dorast, MUDr. Terézia Džunková, Košice-Juh, (MUDr. Terézia Džunková)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2576085,48.7070256
1262,"Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Frolová, Košice-Sídl.Ťahanovce, (Ambulancia Lienka s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2672463,48.7560684
1263,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Grossmanová, Košice-Šaca, (PEDIATRIA - ŠACA s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.1729654,48.6363598
1264,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Halásová, Košice-Sídlisko KVP, (LUDOC s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1265,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Halásová, Košice-Sídlisko KVP, (Healing H s. r. o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1266,"Všeobecná ambulancia pre deti a dorast, MUDr. Judita Hargašová, Košice-Dargov.hrdinov, (MEDHAR s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
1267,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Horváthová, Košice-Dargov.hrdinov, (MUDr. Mária Horváthová)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
1268,"Všeobecná ambulancia pre deti a dorast, MUDr. Alena Jancová, Košice-Sídlisko KVP, (JAAT Style, s. r. o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1269,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľubica Birošová, Košice-Krásna, (LUMART LM s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.3192039,48.671261
1270,"Všeobecná ambulancia pre deti a dorast, MUDr. Žofia Kissová, Košice-Staré Mesto, (MEDKISS s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2434606,48.7249693
1271,"Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Klembarová, Košice-Juh, (MAPAS, s. r. o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2576085,48.7070256
1272,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Kočíková, Košice-Západ, (KOMALEK s. r. o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1273,"Všeobecná ambulancia pre deti a dorast, MUDr. Dagmar Kováčiková, Košice-Staré Mesto, (MUDr. Dagmar Kováčiková)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2434606,48.7249693
1274,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Krajčiová, Košice-Sídlisko KVP, (VIAMEDY s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1275,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Lorková, Košice-Sídlisko KVP, (LORMED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1276,"Všeobecná ambulancia pre deti a dorast, MUDr. Zoja Olašinová, Košice-Sídlisko KVP, (ADAM - KOŠICE s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1277,"Všeobecná ambulancia pre deti a dorast, MUDr. Kristína Pačutová, Košice-Sídlisko KVP, (MEDPAK, s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1278,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Pavlová, Košice-Sídlisko KVP, (PVP s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1279,"PEDAMB s.r.o., Košice-Západ, (PEDAMB s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1280,"Všeobecná ambulancia pre deti a dorast, MUDr. Alexandra Puzová, Košice-Staré Mesto, (MUDr. Alexandra Puzová)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2434606,48.7249693
1281,"Všeobecná ambulancia pre deti a dorast, MUDr. Marta Rubovičová, Košice-Dargov.hrdinov, (RUBOPED s. r. o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
1282,"Všeobecná ambulancia pre deti a dorast, MUDr. Iveta Rusenova, Košice-Staré Mesto, (RUSENOVA - MED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2456565,48.7265656
1283,"Všeobecná ambulancia pre deti a dorast, MUDr. Miriam Salzerová, Košice-Západ, (SALZER s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1284,"Všeobecná ambulancia pre deti a dorast, MUDr. Katarína Sedliaková, Košice-Juh, (KATSED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2576085,48.7070256
1285,"Všeobecná ambulancia pre deti a dorast, MUDr. Gabriela Semanová, Košice-Sídlisko KVP, (GAVAS s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2160937,48.7147646
1286,"Všeobecná ambulancia pre deti a dorast, MUDr. Libuše Slávková, Košice-Sídl.Ťahanovce, (MUDr. Libuše Slávková)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2674997,48.7549773
1287,"Všeobecná ambulancia pre deti a dorast, MUDr. Jana Snopková, Košice-Západ, (MUDr. Snopková s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1288,"Všeobecná ambulancia pre deti a dorast, MUDr. Janka Stašová, Košice-Staré Mesto, (STAJAMED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2456565,48.7265656
1289,"Všeobecná ambulancia pre deti a dorast, MUDr. Zuzana Šašalová, Košice-Nad jazerom, (PEDOS s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2844925,48.6895806
1290,"Všeobecná ambulancia pre deti a dorast, MUDr. Jana Šefranková, Košice-Západ, (LIŠKOVÁ, MUDr., s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1291,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Ševecová, Košice-Sídl.Ťahanovce, (MUDr. Eva Ševecová)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2674997,48.7549773
1292,"Všeobecná ambulancia pre deti a dorast, Košice-Luník IX, (MUDr. Pavol Štroncer)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2217017,48.6971085
1293,"Všeobecná ambulancia pre deti a dorast, MUDr. Brigita Telepovská, Košice-Sídl.Ťahanovce, (MUDr. Brigita Telepovská)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2674997,48.7549773
1294,"Všeobecná ambulancia pre deti a dorast, MUDr. Mária Tomášková, Košice-Sever, (MEDTOM, s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2506809,48.7313113
1295,"Všeobecná ambulancia pre deti a dorast, MUDr. Oľga Trebišovská, Košice-Staré Mesto, (TISS, spol. s r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2434606,48.7249693
1296,"Všeobecná ambulancia pre deti a dorast, MUDr. Anna Szabóová, Košice-Sever, (BENEPED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2506809,48.7313113
1297,"Všeobecná ambulancia pre deti a dorast, MUDr. Lýdia Zborovjanová, Košice-Západ, (PEDMED s. r. o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2374149,48.7221636
1298,"Všeobecná ambulancia pre deti a dorast, MUDr. Viera Zgodavová, Košice-Sídl.Ťahanovce, (MUDr. Viera Zgodavová)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2674997,48.7549773
1299,"Všeobecná ambulancia pre deti a dorast, Košice-Šaca, (Nemocnica AGEL Košice-Šaca a.s.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.1727106,48.642548
1300,"Všeobecná ambulancia pre deti a dorast, MUDr. Lýdia Frigová, Košice-Nad jazerom, (FRIGAPED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2844925,48.6895806
1301,"Všeobecná ambulancia pre deti a dorast, MUDr. Marta Kičková, Košice-Sever, (Pedia Care s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2506809,48.7313113
1302,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Adamcová, Košice-Západ, (Poliklinika Terasa s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2309443,48.7135613
1303,"Všeobecná ambulancia pre deti a dorast, Košice-Západ, (Poliklinika Centrum s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2313769,48.7158138
1304,"Všeobecná ambulancia pre deti a dorast, MUDr. Adriena Tencerová, Košice-Sídlisko KVP, (Poliklinika ProCare Košice s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2116817,48.7205373
1305,"Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Nemčoková, Košice-Staré Mesto, (AVITASK, s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2622222,48.7188282
1306,"Všeobecná ambulancia pre deti a dorast, MUDr. Estera Kendrová, Košice-Sídl.Ťahanovce, (MEDIKEN, s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2674997,48.7549773
1307,"Všeobecná ambulancia pre deti a dorast, MUDr. Karolína Vasiľková, Košice-Staré Mesto, (ZANGL s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2622222,48.7188282
1308,"Všeobecná ambulancia pre deti a dorast, MUDr. Ľudmila Gorelová, Košice-Nad jazerom, (PEDIAMAX s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2844925,48.6895806
1309,"Všeobecná ambulancia pre deti a dorast, Košice-Sever, (DYNAMED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2506809,48.7313113
1310,"Všeobecná ambulancia pre deti a dorast, MUDr. Marcel Dolobáč PhD, Košice-Nad jazerom, (DOLMED, s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2844925,48.6895806
1311,"Všeobecná ambulancia pre deti a dorast, MUDr. Gabriela Gregová, Košice-Západ, (GRELEK s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2313769,48.7158138
1312,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Berešová, Košice-Dargov.hrdinov, (LSK PLUS s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
1313,"Všeobecná ambulancia pre deti a dorast, MUDr. Eva Berešová, Košice-Nad jazerom, (LSK PLUS s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2844925,48.6895806
1314,"Všeobecná ambulancia pre deti a dorast, MUDr. Daniela Sopková, Košice-Nad jazerom, (PEDCARE s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2844925,48.6895806
1315,"Všeobecná ambulancia pre deti a dorast, Košice-Juh, (Medical group Košice s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2598635,48.7078539
1316,"Všeobecná ambulancia pre deti a dorast, MUDr.  Adriana Schuster, Košice-Dargov.hrdinov, (ELAPED s.r.o.)",Všeobecná ambulancia pre deti,Všeobecná ambulancia pre deti,21.2824586,48.7395041
939,Pošta 1,Pošty,Pošty,21.2502581,48.7220054
940,Pošta 2,Pošty,Pošty,21.2661290564839,48.7262418332086
941,Pošta 3,Pošty,Pošty,21.26015813,48.71057251
942,Pošta 4,Pošty,Pošty,21.2502458920999,48.7305522369494
943,Pošta 5,Pošty,Pošty,21.25145813646205,48.69601215
944,Pošta 7,Pošty,Pošty,21.2528158,48.7008809
945,Pošta 7 OC OPTIMA,Pošty,Pošty,21.24037,48.69404
946,Pošta 8,Pošty,Pošty,21.243718248581864,48.7304744
947,Pošta 10,Pošty,Pošty,21.2339435946779,48.7146455881833
948,Pošta 11,Pošty,Pošty,21.23649273,48.70766594
949,Pošta 12,Pošty,Pošty,21.2837418777838,48.6890808178232
950,Pošta 13,Pošty,Pošty,21.2710792,48.7516685
951,Pošta 14,Pošty,Pošty,21.2981246,48.73347607
952,Pošta 15,Pošty,Pošty,21.1706467018962,48.633212202029
953,Pošta 16,Pošty,Pošty,21.20478008810003,48.70904381127996
954,Pošta 17,Pošty,Pošty,21.2650939028085,48.6780537834764
955,Pošta 18,Pošty,Pošty,21.3121787792325,48.6725383420022
956,Pošta 19,Pošty,Pošty,21.26692105,48.74061521
957,Pošta 20,Pošty,Pošty,21.2956472194495,48.6799234574198
958,Pošta 22,Pošty,Pošty,21.2844197,48.7360309
959,Pošta 23,Pošty,Pošty,21.21663394,48.71554186
960,Pošta-Železiarne,Pošty,Pošty,21.1929858,48.6228251
1317,"Ambulancia zubného lekárstva, MUDr. Zuzana Fedorová, Košice-Juh, (SebiDent s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2576085,48.7070256
1318,"Ambulancia zubného lekárstva, MUDr. Zuzana Antošová, Košice-Juh, (HUGODENT, s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2576085,48.7070256
1319,"Ambulancia zubného lekárstva, MUDr. Viera Arendárčiková, Košice-Západ, (MUDr. Viera Arendárčiková)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2218523,48.7088278
1320,"Ambulancia zubného lekárstva, MUDr. Eleonóra Babíková, Košice-Juh, (ELDA Dent s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2599108,48.7155408
1321,"Ambulancia zubného lekárstva, MUDr.Božena Badlíková, Košice-Dargov.hrdinov, (MUDr. Božena Badlíková)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2852275,48.7315797
1322,"Ambulancia zubného lekárstva, MUDr. Vladimír Balažič, CSc., Košice-Staré Mesto, (Ambulancia TYRKYS s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2548799,48.7195278
1323,"Ambulancia zubného lekárstva, Mihály Répasi, Košice-Staré Mesto, (HAPPYDENT, s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2649046,48.7184194
1324,"Ambulancia zubného lekárstva, MUDr. Magdaléna Bodáková, Košice-Staré Mesto, (Dental - Prim Plus s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2573005,48.7200676
1325,"Ambulancia zubného lekárstva, MUDr. Rastislav Boroš, Košice-Západ, (BorgiDent s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2241475,48.7112039
1326,"Ambulancia zubného lekárstva, MUDr. Oľga Borošová, Košice-Západ, (BorgiDent s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2325557,48.6988397
1327,"Ambulancia zubného lekárstva, MDDr. Štefánia Zupková, Košice-Staré Mesto, (ZUPKO dental center s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2434606,48.7249693
1328,"Ambulancia zubného lekárstva, MDDr. Lenka Budziňáková, Košice-Západ, (QUALIDENT, s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2411626,48.70765
1329,"Ambulancia zubného lekárstva, MUDr. Anna Cifráková, Košice-Západ, (AC DENTAL s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2328135,48.7102261
1330,"Ambulancia zubného lekárstva, MUDr. Štefan Cuľba, Košice-Juh, (DENTAL CLINIC GOLD s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.267924,48.717751
1331,"Ambulancia zubného lekárstva, MUDr. Radoslava Cuľbová, Košice-Juh, (M&K dent spol. s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2598635,48.7078539
1332,"Ambulancia zubného lekárstva, MUDr. Adriana Čečetková, PhD., Košice-Juh, (Endo-Dent s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2605221,48.7071672
1333,"Ambulancia zubného lekárstva, MDDr. Marta Kyjovská Čičváková, Košice-Dargov.hrdinov, (MartiDent s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2824586,48.7395041
1334,"Ambulancia zubného lekárstva, MUDr. Gabriela Čisláková, Košice-Juh, (NUMERO-DENT s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2576085,48.7070256
1335,"Ambulancia zubného lekárstva, MUDr. Iveta Čižmáriková, Košice-Nad jazerom, (MUDr. Iveta Čižmáriková)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2844925,48.6895806
1336,"Ambulancia zubného lekárstva, MDDr. Beáta Deiml, Košice-Západ, (Diamondsmile s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2354758,48.6975186
1337,"Ambulancia zubného lekárstva, MUDr. Yury Demidov, Košice-Staré Mesto, (VLADE s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2536345,48.7232423
1338,"Ambulancia zubného lekárstva, MUDr. Erich Dráb, Košice-Šaca, (MUDr. Erich Dráb)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.1728885,48.6367051
1339,"Ambulancia zubného lekárstva, MUDr. Kalid El-Momany, Košice-Staré Mesto, (MOMANY DENT, s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2594027,48.7217065
1340,"Ambulancia zubného lekárstva, Košice-Juh, (TREDENT s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2576085,48.7070256
1341,"Ambulancia zubného lekárstva, MUDr. Mária Eötvösová, Košice-Juh, (TREDENT s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2576085,48.7070256
1342,"Ambulancia zubného lekárstva, Košice-Sever, (NEODENT s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2404772,48.7298319
1343,"Ambulancia zubného lekárstva, MUDr. Beáta Futóová, Košice-Sídl.Ťahanovce, (FUDENTO s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2674997,48.7549773
1344,"Ambulancia zubného lekárstva, MDDr. Zdenka Lučivjanská, Košice-Juh, (G-Dentistry s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2682463,48.716418
1345,"Zubná ambulancia - OMNIDENT, Košice-Sídl.Ťahanovce, (OMNIDENT J&J s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2674997,48.7549773
1346,"Ambulancia zubného lekárstva, MUDr. Milena Gidová, Košice-Západ, (PERFECT SMILE s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2374149,48.7221636
1347,"Ambulancia zubného lekárstva, MUDr. Katarína Gramatová, Košice-Krásna, (GRADENT, s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.3138544,48.6700839
1348,"Ambulancia zubného lekárstva, MUDr. Adriana Grančičová, Košice-Sever, (STOMATEL, s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2506809,48.7313113
1349,"Ambulancia zubného lekárstva, Marta Bodnárová, Košice-Juh, (HEJJDENT s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2538151,48.7150273
1350,"Ambulancia zubného lekárstva, MUDr. Marek Hoffmann, Košice-Západ, (ABM DENT s. r. o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2308449,48.7196029
1351,"Ambulancia zubného lekárstva, MDDr. Simona Adamec Vaššová, Košice-Juh, (OCEAN DENT s.r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2576085,48.7070256
1352,"Ambulancia zubného lekárstva, MUDr. Viera Horváthová, Košice-Staré Mesto, (VHDENT, spol. s r.o.)",ambulancia zubného lekárstva,ambulancia zubného lekárstva,21.2513245,48.7290876
