ObjectId,zriadovatel,organizacia_nazov,pravna_forma,organizacia_ICO,organizacia_DIC,organizacia_IC_DPH,organizacia_adresa_ulica,organizacia_adresa_supisne_cisl,organizacia_adresa_orientacne_c,organizacia_adresa_mesto,organizacia_adresa_mestska_cast,organizacia_adresa_PSC,organizacia_adresa_krajina,organizacia_web,organizacia_telefon_1,organizacia_telefon_2,organizacia_e_mail_1,organizacia_e_mail_2,y,x,facebook,youtube,instagram
1,Košický samosprávny kraj,Gymnázium a základná škola Sándora Máraiho s vyučovacím jazykom maďarským - Márai Sándor Magyar Tanítási Nyelvű Gimnázium és Alapiskola,Rozpočtová organizácia,00161004,2020762392,,Kuzmányho ,,6,Košice,Mestská časť Košice - Staré Mesto,04001,Slovensko, http://www.maraigimi.sk/,+421556221954,+421911239411,skola@maraigimi.sk,,48.71810607099621 ,21.250902296381906,https://www.facebook.com/maraigimi/,https://www.youtube.com/channel/UC32v-iCflLR61H3mTD0AjXg,
2,Košický samosprávny kraj,Gymnázium Poštová 9,Rozpočtová organizácia,00160997,2020762381,,Poštová,,9,Košice,Mestská časť Košice - Staré Mesto,04001,Slovensko,https://www.gympos.sk,+421556226604,,skola@gympos.sk,,48.72298992495915 ,21.25440250561361,https://www.facebook.com/gympos,https://www.youtube.com/channel/UCPDlbNuYH6XIOOzCKLUXT3g,https://www.instagram.com/gympos.ke/
3,Košický samosprávny kraj,Gymnázium Šrobárová 1,Rozpočtová organizácia,00160989,2020762370,,Šrobárová,,1,Košice,Mestská časť Košice - Staré Mesto,04001,Slovensko,http://www.srobarka.sk/,+421556221951,, srobarka@srobarka.sk,,48.71894788236366 ,21.252008499504306,https://www.facebook.com/srobarka.official,https://www.instagram.com/srobarka.official/,
4,Košický samosprávny kraj,Gymnázium Trebišovská 12,Rozpočtová organizácia,00398900,2020951933,,Trebišovská,,12,Košice,Mestská časť Košice - Západ,04011,Slovensko,https://www.gt12.sk/,+421910897952,,skola@gt12.sk,,48.705796781665576,21.23227763629466,https://www.facebook.com/profile.php?id=100063740432424,https://www.youtube.com/channel/UCM0vMbjXrynFEwNa2sRNe1w,https://www.instagram.com/gt12ke/
5,Košický samosprávny kraj,Gymnázium Alejová 1,Rozpočtová organizácia,00598071,2021141925,,Alejová,,1,Košice,Mestská časť Košice - Juh,04011,Slovensko,https://gymalke.edupage.org,+421557296686,+421557296685,gymnazium.alejova@galeje.sk,,48.70361934860574,21.24699055717434,https://www.facebook.com/GAlejova1,,
6,Košický samosprávny kraj,Gymnázium Opatovská cesta 7,Rozpočtová organizácia,00162159,2021189764,,Opatovská cesta ,,7,Košice,Mestská časť Košice - Vyšné opatské,04001,Slovensko,https://egjak.sk/,+421556815610,,egjak@egjak.com,,48.71665185361013 ,21.27899238600985,https://www.facebook.com/GO7Kosice,https://www.instagram.com/egjak_ke/,
7,Generálny biskupský úrad ECAV,Evanjelické gymnázium J. A. Komenského,Nezisková organizácia,31305288,2021190061,,Škultétyho ,,10,Košice,Mestská časť Košice - Staré Mesto,04001,Slovensko,https://gexnarke.edupage.org/,+421556710486,,gymnazium@gexnarke.sk,,48.719796136194894 ,21.248941622800576,https://www.facebook.com/egjak,,
8,Okresný úrad Košice,Gymnázium M. R. Štefánika ,Rozpočtová organizácia,00160971,2020762359,,Nám. L. Novomeského,,4,Košice,Mestská časť Košice - Staré Mesto,04001,Slovensko,https://gpm.edupage.org/,+421556335470,,office@gpm.sk,,48.72488301562985 ,21.244762065130345,https://www.facebook.com/Gymn%C3%A1zium-Milana-Rastislava-%C5%A0tef%C3%A1nika-202028096631553,,https://www.instagram.com/gpm_ke/
9,Okresný úrad Košice,Gymnázium Park Mládeže ,Rozpočtová organizácia,35531754,2020953099,,Park mládeže,,5,Košice,Mestská časť Košice - Sever,04001,Slovensko,https://gymes.eu,+421557994875,,sekretar@gymes.eu,,48.74105654570883 ,21.254968299861563,https://www.facebook.com/GPMKE,,
10,Košická arcidiecéza,Gymnázium sv. Edity Steinovej ,Nezisková organizácia,35560321, 2021928062,,Charkovská,,1,Košice,Mestská časť Košice - Dargovských hrdinov,04022,Slovensko,https://gym.gkmke.sk/,+421911872801,,riaditel@gkmke.sk,,48.73558542425866 ,21.290818261437956,https://www.facebook.com/GYMES.official,,
