ObjectId,pasport,sl_,elektricka,trolejbus,autobus,mestska_cast,zastavka_nazov,zastavka_smer,x,y
1,1,1,False,False,True,Košice - Sever,Alpinka,smer Jahodná kopec,21.1882991790771,48.7584495544433
2,1,2,False,False,True,Košice - Sever,Alpinka,smer Čermeľ,21.1882991790771,48.75830078125
3,1,3,False,False,True,Košice - Sever,Alpinka,konečná,21.188039779663,48.7585411071777
4,1,4,False,False,False,Košice - Sever,Alpinka,smer Vpred,21.1852703094482,48.7590293884277
5,1,5,False,False,False,Košice - Sever,Alpinka,konečná,21.1836204528808,48.7595100402832
6,2,1,False,False,True,Košice - Staré Mesto,Alvinczyho,smer Svornosti,21.2609500885009,48.7307815551757
7,2,2,False,False,True,Košice - Staré Mesto,Alvinczyho,smer Nám. Mar.mieru,21.2609500885009,48.7305488586425
8,3,1,False,False,True,Košice - Staré Mesto,Amfiteáter,smer Nová nemocnica,21.2403507232666,48.7273216247558
9,3,2,False,False,True,Košice - Staré Mesto,Amfiteáter,smer Techn. univerzita,21.2422695159912,48.7280197143554
10,3,3,False,False,True,Košice - Sever,Amfiteáter,smer Sládkovičova,21.2397594451904,48.7282409667968
11,3,4,False,False,True,Košice - Staré Mesto,Amfiteáter,smer Radnica Starého mesta (priamo),21.2424602508544,48.7274093627929
12,3,5,True,False,True,Košice - Staré Mesto,Amfiteáter,smer Nová nemocnica,21.2412204742431,48.7278289794921
13,3,6,True,False,True,Košice - Staré Mesto,Amfiteáter,smer Radnica Starého mesta,21.2416706085205,48.7274208068847
14,3,7,False,False,True,Košice - Staré Mesto,Amfiteáter,parkovisko,21.241708,48.727657
15,4,1,False,False,True,Košice - Sever,Anička,smer Chrastie,21.2490997314453,48.7506217956542
16,4,2,False,False,True,Košice - Sever,Anička,smer Májová,21.2488594055175,48.7519302368164
17,5,1,True,False,True,Košice - Juh,Astória,smer Nám. osloboditeľov,21.260929107666,48.7126312255859
18,5,2,True,False,True,Košice - Juh,Astória,smer Stará nemocnica,21.2608890533447,48.7123908996582
19,5,3,False,False,True,Košice - Juh,Astória,smer Slovenská televízia (len pre ŠpTP),21.2593803405761,48.711311340332
20,5,4,False,False,True,Košice - Juh,Astória,smer od Slov. televízia (len pre ŠpTP),21.2595901489257,48.7112808227539
21,6,1,False,False,True,Košice - Sever,Atletická,smer Mengusovská,21.2437801361083,48.744400024414
22,6,2,False,False,True,Košice - Sever,Atletická,smer Vodárenská,21.2438602447509,48.7442207336425
23,7,1,False,False,True,Košice - Juh,Autocamping,smer Verejný cintorín ,21.2603702545166,48.6889610290527
24,7,2,False,False,True,Košice - Juh,Autocamping,smer VSS križovatka,21.2602806091308,48.6895790100097
25,7,3,True,False,False,Košice - Juh,Autocamping,smer Rozvojová,21.261360168457,48.6885108947753
26,7,4,True,False,False,Košice - Juh,Autocamping,smer VSS križovatka,21.2620296478271,48.6884498596191
27,7,5,False,False,True,Košice - Juh,Autocamping,smer Rozvojová(výluková),21.2603702545166,48.6889610290527
28,7,6,False,False,True,Košice - Juh,Autocamping,smer VSS(výluková),21.2600593566894,48.6878509521484
29,7,7,False,False,True,Košice - Juh,Autocamping,smer VSS(výluková-Rastislavova),21.260331,48.689174
30,7,8,False,False,True,Košice - Juh,Autocamping,smer Verejný cin(výluková-Rastislavova)),21.260307,48.688886
31,7,9,False,False,True,Košice - Barca,Autocamping,"smer VSS,kr.(výluková-Barčianska)",21.259408,48.688268
32,8,1,False,False,True,Košice - Sever,Baňa Bankov,smer Krupinská,21.2277107238769,48.7328186035156
33,8,2,False,False,True,Košice - Sever,Baňa Bankov,konečná,21.2279300689697,48.7325706481933
34,9,1,False,False,True,Košice - Sídlisko Ťahanovce,Belehradská,smer Hanojská,21.2737693786621,48.7569694519042
35,9,2,False,False,True,Košice - Sídlisko Ťahanovce,Belehradská,smer Sofijská,21.2738094329833,48.7566986083984
36,10,1,False,False,True,Košice - Sídlisko Ťahanovce,Berlínska,smer Hanojská,21.2686290740966,48.7589302062988
37,10,2,False,False,True,Košice - Sídlisko Ťahanovce,Berlínska,smer Bruselská,21.2684803009033,48.7584114074707
38,11,1,False,False,True,Košice - Sever,Botanická záhrada,smer Obchodná akadémia,21.2391300201416,48.7342109680175
39,11,2,False,False,True,Košice - Sever,Botanická záhrada,smer Krajský úrad,21.2416095733642,48.7350311279296
40,11,3,False,False,True,Košice - Sever,Botanická záhrada,smer Technická univerzita,21.2405204772949,48.7341690063476
41,11,4,True,False,False,Košice - Sever,Botanická záhrada,smer Technická univerzita,21.2407608032226,48.7345008850097
42,11,5,True,False,False,Košice - Sever,Botanická záhrada,konečná,21.2407207489013,48.7342796325683
43,12,1,False,False,True,Košice - Vyšné Opátske,Bytový podnik,smer Viničná,21.2795906066894,48.7067184448242
44,12,2,False,False,True,Košice - Vyšné Opátske,Bytový podnik,smer Králičia,21.2795104980468,48.7053794860839
45,13,1,False,False,True,Košice - Kavečany,"Kavečany, cintorín","smer Kavečany , MiÚ",21.2071495056152,48.773998260498
46,13,2,False,False,True,Košice - Kavečany,"Kavečany, cintorín",smer Budanová,21.207139968872,48.7738304138183
47,14,1,False,False,True,Košice - Košická Nová Ves,"Košická Nová Ves, cintorín",smer Lingov,21.3036499023437,48.7270011901855
48,15,1,False,False,True,Košice - Juh,Verejný cintorín,smer Poľská,21.2620792388916,48.6952400207519
49,15,2,False,False,True,Košice - Juh,Verejný cintorín,smer VSS most,21.2620391845703,48.6947784423828
50,15,3,True,False,True,Košice - Juh,Verejný cintorín,smer Holubyho,21.2644996643066,48.6955604553222
51,15,4,True,False,True,Košice - Juh,Verejný cintorín,smer Južná trieda 125,21.2646007537841,48.6951217651367
52,15,5,False,False,True,Košice - Juh,Verejný cintorín,smer Autocamping(Cintorínska),21.262051,48.694248
53,16,1,False,False,True,Košice - Poľov,Kovaľská,smer Poľovská,21.1968994140625,48.6628913879394
54,16,2,False,False,True,Košice - Poľov,Kovaľská,"smer Poľov, rázcestie",21.1973209381103,48.6625709533691
55,17,1,False,True,True,Košice - Juh,Bosákova,smer Priemyselná,21.2742195129394,48.7212982177734
56,17,2,False,False,True,Košice - Juh,Bosákova,smer Gymnázium Opatovská,21.2745304107666,48.7205581665039
57,17,3,False,False,True,Košice - Staré Mesto,Bosákova,smer Palackého,21.2731208801269,48.720718383789
58,18,1,False,False,True,Košice - Šaca,Cent. prekl. rúd USS,smer Stavadlo 2 USS,21.209150314331,48.6080818176269
